Id,VN30F1M,len,datetime,open,high,low,close,volume,openinterest,CompareOHLCV,len,datetime,datetime,Value,len,value,Broker,len,cash,value,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,BuySell,len,buy,sell
905,VN30F1M,905,2020-05-19 04:00:00,808.7,811.0,807.6,811.0,13763.0,,CompareOHLCV,905,,737564.1666666666,Value,905,2068508000.0,Broker,905,2068508000.0,2068508000.0,Trades - Net Profit/Loss,905,234493000.00000033,,DrawDown,905,0.028756422469060263,12.665865767793717,BuySell,905,,808.7
906,VN30F1M,906,2020-05-19 04:30:00,810.9,811.0,810.9,811.0,176.0,,CompareOHLCV,906,,737564.1875,Value,906,2068508000.0,Broker,906,2068508000.0,2068508000.0,Trades - Net Profit/Loss,906,,,DrawDown,906,0.028756422469060263,12.665865767793717,BuySell,906,,
907,VN30F1M,907,2020-05-19 06:00:00,811.0,813.6,804.3,805.4,30123.0,,CompareOHLCV,907,,737564.25,Value,907,2068508000.0,Broker,907,2068508000.0,2068508000.0,Trades - Net Profit/Loss,907,,,DrawDown,907,0.028756422469060263,12.665865767793717,BuySell,907,,
908,VN30F1M,908,2020-05-19 06:30:00,805.5,806.3,800.2,802.1,31579.0,,CompareOHLCV,908,,737564.2708333334,Value,908,2068508000.0,Broker,908,2068508000.0,2068508000.0,Trades - Net Profit/Loss,908,,,DrawDown,908,0.028756422469060263,12.665865767793717,BuySell,908,,
909,VN30F1M,909,2020-05-19 07:00:00,802.2,802.3,792.6,798.0,29118.0,,CompareOHLCV,909,,737564.2916666666,Value,909,2068508000.0,Broker,909,2068508000.0,2068508000.0,Trades - Net Profit/Loss,909,,,DrawDown,909,0.028756422469060263,12.665865767793717,BuySell,909,,
910,VN30F1M,910,2020-05-19 07:30:00,798.0,799.5,798.0,799.5,3362.0,,CompareOHLCV,910,,737564.3125,Value,910,2068508000.0,Broker,910,2068508000.0,2068508000.0,Trades - Net Profit/Loss,910,,,DrawDown,910,0.028756422469060263,12.665865767793717,BuySell,910,,
911,VN30F1M,911,2020-05-20 02:00:00,798.3,799.8,795.1,799.1,17378.0,,CompareOHLCV,911,,737565.0833333334,Value,911,2068508000.0,Broker,911,2068508000.0,2068508000.0,Trades - Net Profit/Loss,911,,,DrawDown,911,0.028756422469060263,12.665865767793717,BuySell,911,,
912,VN30F1M,912,2020-05-20 02:30:00,798.7,801.3,797.4,801.0,14700.0,,CompareOHLCV,912,,737565.1041666666,Value,912,2051813000.0000002,Broker,912,2051812930.0000002,2051813000.0000002,Trades - Net Profit/Loss,912,,,DrawDown,912,0.835627805865622,12.665865767793717,BuySell,912,,798.7
913,VN30F1M,913,2020-05-20 03:00:00,801.0,801.5,795.6,797.5,17646.0,,CompareOHLCV,913,,737565.125,Value,913,2051218000.0000002,Broker,913,2051218000.0000002,2051218000.0000002,Trades - Net Profit/Loss,913,,-17289999.99999968,DrawDown,913,0.8643842283346823,12.665865767793717,BuySell,913,801.0,
914,VN30F1M,914,2020-05-20 03:30:00,797.5,798.9,794.0,798.9,15207.0,,CompareOHLCV,914,,737565.1458333334,Value,914,2051218000.0000002,Broker,914,2051218000.0000002,2051218000.0000002,Trades - Net Profit/Loss,914,,,DrawDown,914,0.8643842283346823,12.665865767793717,BuySell,914,,
