Id,VN30F1M,len,datetime,open,high,low,close,volume,openinterest,Alpha,len,datetime,datetime,Value,len,value,Broker,len,cash,value,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,BuySell,len,buy,sell
906,VN30F1M,906,2020-09-24 02:00:00,850.0,852.7,850.0,852.0,23312.0,,Alpha,906,,737692.0833333334,Value,906,1794293499.9999998,Broker,906,1794293464.9999998,1794293499.9999998,Trades - Net Profit/Loss,906,,,DrawDown,906,0.6380496789400427,16.71492932526923,BuySell,906,850.0,
907,VN30F1M,907,2020-09-24 03:00:00,852.0,852.4,851.0,851.0,11378.0,,Alpha,907,,737692.125,Value,907,1793995999.9999998,Broker,907,1793995999.9999998,1793995999.9999998,Trades - Net Profit/Loss,907,6405000.0,,DrawDown,907,0.6545242301884954,16.71492932526923,BuySell,907,,852.0
908,VN30F1M,908,2020-09-24 04:00:00,851.0,854.0,850.7,853.3,14741.0,,Alpha,908,,737692.1666666666,Value,908,1793995999.9999998,Broker,908,1793995999.9999998,1793995999.9999998,Trades - Net Profit/Loss,908,,,DrawDown,908,0.6545242301884954,16.71492932526923,BuySell,908,,
909,VN30F1M,909,2020-09-24 06:00:00,853.0,854.2,847.8,849.5,34277.0,,Alpha,909,,737692.25,Value,909,1781448499.9999998,Broker,909,1781448464.9999998,1781448499.9999998,Trades - Net Profit/Loss,909,,,DrawDown,909,1.3493626563732304,16.71492932526923,BuySell,909,853.0,
910,VN30F1M,910,2020-09-24 07:00:00,849.5,853.1,849.0,853.1,24515.0,,Alpha,910,,737692.2916666666,Value,910,1781150999.9999998,Broker,910,1781150999.9999998,1781150999.9999998,Trades - Net Profit/Loss,910,,-12845000.0,DrawDown,910,1.365837207621683,16.71492932526923,BuySell,910,,849.5
911,VN30F1M,911,2020-09-25 02:00:00,856.0,856.8,853.2,853.9,20250.0,,Alpha,911,,737693.0833333334,Value,911,1773503499.9999998,Broker,911,1773503464.9999998,1773503499.9999998,Trades - Net Profit/Loss,911,,,DrawDown,911,1.789330083831905,16.71492932526923,BuySell,911,856.0,
912,VN30F1M,912,2020-09-25 03:00:00,853.8,854.9,852.7,853.3,16278.0,,Alpha,912,,737693.125,Value,912,1769355999.9999998,Broker,912,1769355929.9999998,1769355999.9999998,Trades - Net Profit/Loss,912,,,DrawDown,912,2.019004710060332,16.71492932526923,BuySell,912,853.8,
913,VN30F1M,913,2020-09-25 04:00:00,853.3,853.8,852.0,852.2,7377.0,,Alpha,913,,737693.1666666666,Value,913,1761656000.0000005,Broker,913,1761655930.0000005,1761656000.0000005,Trades - Net Profit/Loss,913,,,DrawDown,913,2.4454048600202416,16.71492932526923,BuySell,913,,
914,VN30F1M,914,2020-09-25 06:00:00,852.2,853.7,848.5,851.3,30639.0,,Alpha,914,,737693.25,Value,914,1761061000.0000005,Broker,914,1761061000.0000005,1761061000.0000005,Trades - Net Profit/Loss,914,,-20089999.999999523,DrawDown,914,2.4783539625171467,16.71492932526923,BuySell,914,,852.2
915,VN30F1M,915,2020-09-25 07:00:00,851.2,854.9,850.5,854.9,24584.0,,Alpha,915,,737693.2916666666,Value,915,1786366000.0,Broker,915,1786365930.0,1786366000.0,Trades - Net Profit/Loss,915,,,DrawDown,915,1.0770480151487953,16.71492932526923,BuySell,915,851.2,
916,VN30F1M,916,2020-09-28 02:00:00,858.2,859.6,856.6,856.9,18282.0,,Alpha,916,,737696.0833333334,Value,916,1799715000.0,Broker,916,1799714930.0,1799715000.0,Trades - Net Profit/Loss,916,,,DrawDown,916,0.3378252097182291,16.71492932526923,BuySell,916,,
917,VN30F1M,917,2020-09-28 03:00:00,857.0,858.5,856.1,857.7,18538.0,,Alpha,917,,737696.125,Value,917,1805315000.0000005,Broker,917,1805314930.0000005,1805315000.0000005,Trades - Net Profit/Loss,917,,,DrawDown,917,0.027716009747330673,16.71492932526923,BuySell,917,,
918,VN30F1M,918,2020-09-28 04:00:00,857.7,858.1,857.0,858.0,7074.0,,Alpha,918,,737696.1666666666,Value,918,1804720000.0000005,Broker,918,1804720000.0000005,1804720000.0000005,Trades - Net Profit/Loss,918,43659000.0,,DrawDown,918,0.06066511224423582,16.71492932526923,BuySell,918,,857.7
919,VN30F1M,919,2020-09-28 06:00:00,858.0,859.9,857.3,859.0,23299.0,,Alpha,919,,737696.25,Value,919,1807922500.0000005,Broker,919,1807922465.0000005,1807922500.0000005,Trades - Net Profit/Loss,919,,,DrawDown,919,0.0,16.71492932526923,BuySell,919,858.0,
920,VN30F1M,920,2020-09-28 07:00:00,859.1,862.9,858.3,862.9,23611.0,,Alpha,920,,737696.2916666666,Value,920,1807975000.0000005,Broker,920,1807975000.0000005,1807975000.0000005,Trades - Net Profit/Loss,920,3255000.0000000796,,DrawDown,920,0.0,16.71492932526923,BuySell,920,,859.1
921,VN30F1M,921,2020-09-29 02:00:00,865.0,865.8,864.1,864.9,16398.0,,Alpha,921,,737697.0833333334,Value,921,1807327500.0000005,Broker,921,1807327465.0000005,1807327500.0000005,Trades - Net Profit/Loss,921,,,DrawDown,921,0.03581354830680733,16.71492932526923,BuySell,921,865.0,
922,VN30F1M,922,2020-09-29 03:00:00,864.9,868.0,864.7,867.0,21843.0,,Alpha,922,,737697.125,Value,922,1807030000.0000005,Broker,922,1807030000.0000005,1807030000.0000005,Trades - Net Profit/Loss,922,,-945000.0000000796,DrawDown,922,0.05226842185317827,16.71492932526923,BuySell,922,,864.9
923,VN30F1M,923,2020-09-29 04:00:00,867.0,867.1,866.1,866.6,10111.0,,Alpha,923,,737697.1666666666,Value,923,1805332500.0000005,Broker,923,1805332465.0000005,1805332500.0000005,Trades - Net Profit/Loss,923,,,DrawDown,923,0.1461579944412948,16.71492932526923,BuySell,923,867.0,
924,VN30F1M,924,2020-09-29 06:00:00,866.6,866.7,861.5,861.5,39284.0,,Alpha,924,,737697.25,Value,924,1805035000.0000005,Broker,924,1805035000.0000005,1805035000.0000005,Trades - Net Profit/Loss,924,,-1994999.9999999204,DrawDown,924,0.16261286798766572,16.71492932526923,BuySell,924,,866.6
925,VN30F1M,925,2020-09-29 07:00:00,861.5,861.6,854.1,854.1,32471.0,,Alpha,925,,737697.2916666666,Value,925,1830637500.0000005,Broker,925,1830637465.0000005,1830637500.0000005,Trades - Net Profit/Loss,925,,,DrawDown,925,0.0,16.71492932526923,BuySell,925,,861.5
926,VN30F1M,926,2020-09-30 02:00:00,855.6,858.5,854.6,856.0,38103.0,,Alpha,926,,737698.0833333334,Value,926,1824981500.0000005,Broker,926,1824981500.0000005,1824981500.0000005,Trades - Net Profit/Loss,926,19946499.99999992,,DrawDown,926,0.30896340755611085,16.71492932526923,BuySell,926,855.6,
927,VN30F1M,927,2020-09-30 03:00:00,855.8,857.2,853.2,855.6,31821.0,,Alpha,927,,737698.125,Value,927,1824981500.0000005,Broker,927,1824981500.0000005,1824981500.0000005,Trades - Net Profit/Loss,927,,,DrawDown,927,0.30896340755611085,16.71492932526923,BuySell,927,,
928,VN30F1M,928,2020-09-30 04:00:00,855.6,856.2,854.2,855.1,12116.0,,Alpha,928,,737698.1666666666,Value,928,1824981500.0000005,Broker,928,1824981500.0000005,1824981500.0000005,Trades - Net Profit/Loss,928,,,DrawDown,928,0.30896340755611085,16.71492932526923,BuySell,928,,
929,VN30F1M,929,2020-09-30 06:00:00,853.5,858.0,851.3,857.1,48105.0,,Alpha,929,,737698.25,Value,929,1824981500.0000005,Broker,929,1824981500.0000005,1824981500.0000005,Trades - Net Profit/Loss,929,,,DrawDown,929,0.30896340755611085,16.71492932526923,BuySell,929,,
930,VN30F1M,930,2020-09-30 07:00:00,857.2,860.3,857.1,859.8,27853.0,,Alpha,930,,737698.2916666666,Value,930,1824981500.0000005,Broker,930,1824981500.0000005,1824981500.0000005,Trades - Net Profit/Loss,930,,,DrawDown,930,0.30896340755611085,16.71492932526923,BuySell,930,,
931,VN30F1M,931,2020-10-01 02:00:00,864.2,864.3,861.7,862.2,17987.0,,Alpha,931,,737699.0833333334,Value,931,1817684000.0000005,Broker,931,1817683965.0000005,1817684000.0000005,Trades - Net Profit/Loss,931,,,DrawDown,931,0.7075950317853751,16.71492932526923,BuySell,931,864.2,
932,VN30F1M,932,2020-10-01 03:00:00,862.2,864.4,861.9,862.9,20867.0,,Alpha,932,,737699.125,Value,932,1817386500.0000005,Broker,932,1817386500.0000005,1817386500.0000005,Trades - Net Profit/Loss,932,,-7595000.0,DrawDown,932,0.7238462011184627,16.71492932526923,BuySell,932,,862.2
933,VN30F1M,933,2020-10-01 04:00:00,863.1,866.3,862.5,865.9,12456.0,,Alpha,933,,737699.1666666666,Value,933,1826889000.0000002,Broker,933,1826888965.0000002,1826889000.0000002,Trades - Net Profit/Loss,933,,,DrawDown,933,0.2047647335969157,16.71492932526923,BuySell,933,863.1,
934,VN30F1M,934,2020-10-01 06:00:00,866.0,866.7,863.7,864.8,31652.0,,Alpha,934,,737699.25,Value,934,1826941500.0000002,Broker,934,1826941500.0000002,1826941500.0000002,Trades - Net Profit/Loss,934,9554999.99999992,,DrawDown,934,0.20189688018519436,16.71492932526923,BuySell,934,,866.0
935,VN30F1M,935,2020-10-01 07:00:00,864.6,867.0,861.7,867.0,28934.0,,Alpha,935,,737699.2916666666,Value,935,1835044000.0000002,Broker,935,1835043965.0000002,1835044000.0000002,Trades - Net Profit/Loss,935,,,DrawDown,935,0.0,16.71492932526923,BuySell,935,864.6,
936,VN30F1M,936,2020-10-02 02:00:00,865.6,867.5,865.4,866.6,17858.0,,Alpha,936,,737700.0833333334,Value,936,1829738000.0000002,Broker,936,1829738000.0000002,1829738000.0000002,Trades - Net Profit/Loss,936,2796500.0,,DrawDown,936,0.2891483800933383,16.71492932526923,BuySell,936,,865.6
937,VN30F1M,937,2020-10-02 03:00:00,867.1,867.2,864.6,864.9,14955.0,,Alpha,937,,737700.125,Value,937,1821740500.0,Broker,937,1821740465.0,1821740500.0,Trades - Net Profit/Loss,937,,,DrawDown,937,0.7249689925691284,16.71492932526923,BuySell,937,867.1,
938,VN30F1M,938,2020-10-02 04:00:00,864.9,865.6,863.9,865.0,11004.0,,Alpha,938,,737700.1666666666,Value,938,1820795500.0,Broker,938,1820795465.0,1820795500.0,Trades - Net Profit/Loss,938,,-8295000.000000159,DrawDown,938,0.7764663953562005,16.71492932526923,BuySell,938,,864.9
